record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Ku'gath Plaguefather,Ku_gath_Plaguefather,legendary_lord,wh3_main_nur_kugath,general,general,wh3_dlc20_nur_pallid_nurslings|wh3_dlc25_nur_epidemius|wh3_dlc25_nur_nurgle_invasion|wh3_dlc25_nur_tamurkhan|wh3_main_nur_bubonic_swarm|wh3_main_nur_maggoth_kin|wh3_main_nur_nurgle_qb1|wh3_main_nur_nurgle_qb2|wh3_main_nur_nurgle_rebels|wh3_main_nur_poxmakers_of_nurgle|wh3_main_nur_septic_claw,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_nur_kugath,,1,general,false,false,,,,wh3_main_skill_node_nur_kugath_magic_0,wh3_main_skill_nur_magic_nurgle_01_miasma_of_pestilence_lord,Miasma of Pestilence,,wh3_main_spell_great_maw_bullgorger.png,0,3,0,0,true,0,2,1,Miasma of Pestilence,,,,,,,wh3_main_effect_ability_cooldown_miasma_of_pestilence,"Cooldown: %+n% to ""Miasma of Pestilence""",,character_to_character_own,-30,both,293,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_nur_magic_nurgle_01_miasma_of_pestilence_lord|wh3_main_effect_ability_cooldown_miasma_of_pestilence|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Ku'gath Plaguefather,Ku_gath_Plaguefather,legendary_lord,wh3_main_nur_kugath,general,general,wh3_dlc20_nur_pallid_nurslings|wh3_dlc25_nur_epidemius|wh3_dlc25_nur_nurgle_invasion|wh3_dlc25_nur_tamurkhan|wh3_main_nur_bubonic_swarm|wh3_main_nur_maggoth_kin|wh3_main_nur_nurgle_qb1|wh3_main_nur_nurgle_qb2|wh3_main_nur_nurgle_rebels|wh3_main_nur_poxmakers_of_nurgle|wh3_main_nur_septic_claw,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_nur_kugath,,1,general,false,false,,,,wh3_main_skill_node_nur_kugath_magic_0,wh3_main_skill_nur_magic_nurgle_01_miasma_of_pestilence_lord,Miasma of Pestilence,,wh3_main_spell_great_maw_bullgorger.png,0,3,0,0,true,0,2,1,Miasma of Pestilence,,,,,,,wh3_main_effect_ability_overcast_miasma_of_pestilence,"Overcast spell: ""Miasma of Pestilence Upgraded""",,character_to_character_own,1,both,292,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_nur_magic_nurgle_01_miasma_of_pestilence_lord|wh3_main_effect_ability_overcast_miasma_of_pestilence|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Ku'gath Plaguefather,Ku_gath_Plaguefather,legendary_lord,wh3_main_nur_kugath,general,general,wh3_dlc20_nur_pallid_nurslings|wh3_dlc25_nur_epidemius|wh3_dlc25_nur_nurgle_invasion|wh3_dlc25_nur_tamurkhan|wh3_main_nur_bubonic_swarm|wh3_main_nur_maggoth_kin|wh3_main_nur_nurgle_qb1|wh3_main_nur_nurgle_qb2|wh3_main_nur_nurgle_rebels|wh3_main_nur_poxmakers_of_nurgle|wh3_main_nur_septic_claw,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_nur_kugath,,1,general,false,false,,,,wh3_main_skill_node_nur_kugath_magic_0,wh3_main_skill_nur_magic_nurgle_01_miasma_of_pestilence_lord,Miasma of Pestilence,,wh3_main_spell_great_maw_bullgorger.png,0,3,0,0,true,0,2,2,Miasma of Pestilence,,,,,,,wh3_main_effect_ability_cooldown_miasma_of_pestilence,"Cooldown: %+n% to ""Miasma of Pestilence""",,character_to_character_own,-50,both,293,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_nur_magic_nurgle_01_miasma_of_pestilence_lord|wh3_main_effect_ability_cooldown_miasma_of_pestilence|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Ku'gath Plaguefather,Ku_gath_Plaguefather,legendary_lord,wh3_main_nur_kugath,general,general,wh3_dlc20_nur_pallid_nurslings|wh3_dlc25_nur_epidemius|wh3_dlc25_nur_nurgle_invasion|wh3_dlc25_nur_tamurkhan|wh3_main_nur_bubonic_swarm|wh3_main_nur_maggoth_kin|wh3_main_nur_nurgle_qb1|wh3_main_nur_nurgle_qb2|wh3_main_nur_nurgle_rebels|wh3_main_nur_poxmakers_of_nurgle|wh3_main_nur_septic_claw,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_nur_kugath,,1,general,false,false,,,,wh3_main_skill_node_nur_kugath_magic_0,wh3_main_skill_nur_magic_nurgle_01_miasma_of_pestilence_lord,Miasma of Pestilence,,wh3_main_spell_great_maw_bullgorger.png,0,3,0,0,true,0,2,2,Miasma of Pestilence,,,,,,,wh3_main_effect_ability_miscast_miasma_of_pestilence_upgraded,"Miscast base chance: %+n% for ""Miasma of Pestilence Upgraded""",,character_to_character_own,-15,both,298,false,magic.png,magic.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_nur_magic_nurgle_01_miasma_of_pestilence_lord|wh3_main_effect_ability_miscast_miasma_of_pestilence_upgraded|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Ku'gath Plaguefather,Ku_gath_Plaguefather,legendary_lord,wh3_main_nur_kugath,general,general,wh3_dlc20_nur_pallid_nurslings|wh3_dlc25_nur_epidemius|wh3_dlc25_nur_nurgle_invasion|wh3_dlc25_nur_tamurkhan|wh3_main_nur_bubonic_swarm|wh3_main_nur_maggoth_kin|wh3_main_nur_nurgle_qb1|wh3_main_nur_nurgle_qb2|wh3_main_nur_nurgle_rebels|wh3_main_nur_poxmakers_of_nurgle|wh3_main_nur_septic_claw,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_nur_kugath,,1,general,false,false,,,,wh3_main_skill_node_nur_kugath_magic_0,wh3_main_skill_nur_magic_nurgle_01_miasma_of_pestilence_lord,Miasma of Pestilence,,wh3_main_spell_great_maw_bullgorger.png,0,3,0,0,true,0,2,2,Miasma of Pestilence,,,,,,,wh3_main_effect_ability_overcast_miasma_of_pestilence,"Overcast spell: ""Miasma of Pestilence Upgraded""",,character_to_character_own,1,both,292,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_nur_magic_nurgle_01_miasma_of_pestilence_lord|wh3_main_effect_ability_overcast_miasma_of_pestilence|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Ku'gath Plaguefather,Ku_gath_Plaguefather,legendary_lord,wh3_main_nur_kugath,general,general,wh3_dlc20_nur_pallid_nurslings|wh3_dlc25_nur_epidemius|wh3_dlc25_nur_nurgle_invasion|wh3_dlc25_nur_tamurkhan|wh3_main_nur_bubonic_swarm|wh3_main_nur_maggoth_kin|wh3_main_nur_nurgle_qb1|wh3_main_nur_nurgle_qb2|wh3_main_nur_nurgle_rebels|wh3_main_nur_poxmakers_of_nurgle|wh3_main_nur_septic_claw,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_nur_kugath,,1,general,false,false,,,,wh3_main_skill_node_nur_kugath_magic_0,wh3_main_skill_nur_magic_nurgle_01_miasma_of_pestilence_lord,Miasma of Pestilence,,wh3_main_spell_great_maw_bullgorger.png,0,3,0,0,true,0,2,2,Miasma of Pestilence,,,,,,,wh3_main_effect_ability_wom_cost_miasma_of_pestilence,"Winds of Magic cost: %n for ""Miasma of Pestilence""",,character_to_character_own,-1,both,294,false,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_nur_magic_nurgle_01_miasma_of_pestilence_lord|wh3_main_effect_ability_wom_cost_miasma_of_pestilence|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Ku'gath Plaguefather,Ku_gath_Plaguefather,legendary_lord,wh3_main_nur_kugath,general,general,wh3_dlc20_nur_pallid_nurslings|wh3_dlc25_nur_epidemius|wh3_dlc25_nur_nurgle_invasion|wh3_dlc25_nur_tamurkhan|wh3_main_nur_bubonic_swarm|wh3_main_nur_maggoth_kin|wh3_main_nur_nurgle_qb1|wh3_main_nur_nurgle_qb2|wh3_main_nur_nurgle_rebels|wh3_main_nur_poxmakers_of_nurgle|wh3_main_nur_septic_claw,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_nur_kugath,,1,general,false,false,,,,wh3_main_skill_node_nur_kugath_magic_0,wh3_main_skill_nur_magic_nurgle_01_miasma_of_pestilence_lord,Miasma of Pestilence,,wh3_main_spell_great_maw_bullgorger.png,0,3,0,0,true,0,2,2,Miasma of Pestilence,,,,,,,wh3_main_effect_ability_wom_cost_miasma_of_pestilence_upgraded,"Winds of Magic cost: %n for ""Miasma of Pestilence Upgraded""",,character_to_character_own,-2,both,295,false,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_nur_magic_nurgle_01_miasma_of_pestilence_lord|wh3_main_effect_ability_wom_cost_miasma_of_pestilence_upgraded|2|character_to_character_own
node,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Ku'gath Plaguefather,Ku_gath_Plaguefather,legendary_lord,wh3_main_nur_kugath,general,general,wh3_dlc20_nur_pallid_nurslings|wh3_dlc25_nur_epidemius|wh3_dlc25_nur_nurgle_invasion|wh3_dlc25_nur_tamurkhan|wh3_main_nur_bubonic_swarm|wh3_main_nur_maggoth_kin|wh3_main_nur_nurgle_qb1|wh3_main_nur_nurgle_qb2|wh3_main_nur_nurgle_rebels|wh3_main_nur_poxmakers_of_nurgle|wh3_main_nur_septic_claw,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_nur_kugath,,1,general,false,false,,,,wh3_main_skill_node_nur_kugath_army_0,wh_main_skill_all_lord_battle_inspiring_presence,Inspiring Presence,"There are Lords that radiate power, confidence and fear, inspiring their followers to great or terrible acts.",battle_morale.png,0,4,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_nur_kugath_army_0
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Ku'gath Plaguefather,Ku_gath_Plaguefather,legendary_lord,wh3_main_nur_kugath,general,general,wh3_dlc20_nur_pallid_nurslings|wh3_dlc25_nur_epidemius|wh3_dlc25_nur_nurgle_invasion|wh3_dlc25_nur_tamurkhan|wh3_main_nur_bubonic_swarm|wh3_main_nur_maggoth_kin|wh3_main_nur_nurgle_qb1|wh3_main_nur_nurgle_qb2|wh3_main_nur_nurgle_rebels|wh3_main_nur_poxmakers_of_nurgle|wh3_main_nur_septic_claw,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_nur_kugath,,1,general,false,false,,,,wh3_main_skill_node_nur_kugath_army_0,wh_main_skill_all_lord_battle_inspiring_presence,Inspiring Presence,"There are Lords that radiate power, confidence and fear, inspiring their followers to great or terrible acts.",battle_morale.png,0,4,0,0,true,0,1,1,Inspiring Presence,"There are Lords that radiate power, confidence and fear, inspiring their followers to great or terrible acts.",,,,,,wh_main_effect_agent_action_outcome_parent_army_xp_gain,Unit experience gain per turn: %+n,,general_to_force_own,75,campaign,10,true,experience.png,experience.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_lord_battle_inspiring_presence|wh_main_effect_agent_action_outcome_parent_army_xp_gain|1|general_to_force_own
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Ku'gath Plaguefather,Ku_gath_Plaguefather,legendary_lord,wh3_main_nur_kugath,general,general,wh3_dlc20_nur_pallid_nurslings|wh3_dlc25_nur_epidemius|wh3_dlc25_nur_nurgle_invasion|wh3_dlc25_nur_tamurkhan|wh3_main_nur_bubonic_swarm|wh3_main_nur_maggoth_kin|wh3_main_nur_nurgle_qb1|wh3_main_nur_nurgle_qb2|wh3_main_nur_nurgle_rebels|wh3_main_nur_poxmakers_of_nurgle|wh3_main_nur_septic_claw,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_nur_kugath,,1,general,false,false,,,,wh3_main_skill_node_nur_kugath_army_0,wh_main_skill_all_lord_battle_inspiring_presence,Inspiring Presence,"There are Lords that radiate power, confidence and fear, inspiring their followers to great or terrible acts.",battle_morale.png,0,4,0,0,true,0,1,1,Inspiring Presence,"There are Lords that radiate power, confidence and fear, inspiring their followers to great or terrible acts.",,,,,,wh_main_effect_character_stat_aura_leadership_effect,Character's aura leadership effect: %+n,Aura. Any unit standing within this character's aura in battle will receive a [[img:icon_morale]][[/img]]leadership bonus.,character_to_character_own,5,battle,260,true,morale_character.png,morale_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_lord_battle_inspiring_presence|wh_main_effect_character_stat_aura_leadership_effect|1|character_to_character_own
